word,count
feminism legal,16
working women,16
1800,16
shadow,16
gender bias,16
gender dalam,16
symposium,16
feminisme dalam,16
xiv,16
rural women,16
socialism feminism,16
regime,16
siècle,16
anglo,16
anarchism,16
york oxford,16
edge,16
blackness,16
athletes,16
textual,16
black female,16
romanticism,15
findings,15
1973,15
women participation,15
subversion,15
study women,15
sub,15
ladies,15
95 paperback,15
essential,15
island,15
negro,15
volume,15
pp xi,15
centre,15
review women,15
rich,15
textbooks,15
aspirations,15
satisfaction,15
feminism time,15
kim,15
encounter,15
gender perspective,15
gender mainstreaming,15
mujer,15
gender women,15
sri,15
constraints,15
affects,15
opposition,15
debating,15
negotiations,15
agents,15
feminist consciousness,15
precarity,15
football,15
feminism ethics,15
press 1996,15
london routledge,15
45,15
feminism revisited,15
invisibility,15
platforms,15
poststructuralist,15
hong kong,15
feminism foucault,15
terrain,15
catherine,15
dorothy,15
article,15
club,15
hollywood,15
1979,15
physical education,15
marital,15
martin,15
dominant,15
nc duke,15
kritik,15
feminist media,15
feminism theatre,15
gender role,15
reflexive,15
playing,15
embodying,15
pain,15
written,15
development feminism,15
hijab,15
criminal justice,15
ict,15
mystique,15
accounts,15
turn century,15
decade,15
respect,15
contemporary women,15
prospects,15
village,15
happened,15
sacred,15
secondary,15
brave,15
governing,15
por,15
kajian feminisme,15
feminist study,15
existentialism,15
harriet,15
watching,15
promoting,15
algorithmic,15
emergent,15
self esteem,15
entanglements,15
state university,15
researchers,15
gaga,15
called,15
disciplining,15
queer feminist,15
lenses,15
que,15
amy,15
fascism,15
secularism,15
grounds,15
emily,15
militarism,15
women international,15
lesbian gay,15
comments,15
concerns,15
midwifery,15
theater,15
journals,15
view feminism,15
public private,15
columbia,15
olive,15
figures,15
indiana university,15
strategic,15
campus,15
dissent,15
essays feminism,15
worker,15
morocco,15
women peace,15
hashtag feminism,15
gender feminist,15
socialization,15
selves,15
financial,15
ethics feminism,15
feminism translation,15
media studies,15
appraisal,15
portugal,15
read,15
goals,15
digital age,15
police,15
maternity,15
roundtable,15
cities,14
synthesis,14
idea,14
societal,14
york new,14
